 Count  Overhead File                    Line Function
     3         0 @Base\show.jl          1295 show
     3         0 @Base\intfuncs.jl      1057 string
     3         0 @Base\intfuncs.jl      1067 string(n::Int64; base::Int64, pad…
     3         0 @CSV\src\write.jl       225 (::CSV.var"#90#91"{Bool, Bool, Ta…
     3         0 @CSV\src\write.jl       364 writerow(buf::Vector{UInt8}, pos:…
     3         0 @Tables\src\utils.jl     70 eachcolumn
     3         0 @CSV\src\write.jl       368 #writerow##0
     3         0 @CSV\src\write.jl       513 writecell(buf::Vector{UInt8}, pos…
     3         3 @Base\Base_compiler.jl   57 getproperty
     3         0 @Base\promotion.jl      404 promote
     3         0 @Base\promotion.jl      379 _promote
     3         0 @Base\path.jl           459 abspath(a::String)
     3         0 @Base\path.jl           394 normpath(path::String)
     3         0 @Base\strings\util.jl   929 split
     3         0 @Base\strings\util.jl   931 #split#416
     3         0 @Base\array.jl          759 collect
     4         4 @Float3109s\src\codepoints.jl   23 cp_max(fmt::Main.ProfRun.Format{M…
     4         0 @Base\array.jl         1205 _growend!
     4         0 @Base\intfuncs.jl       867 ndigits
     4         0 @Base\intfuncs.jl       867 #ndigits#390
     4         0 @Float3109s\src\Printf2.jl 1090 _normalize_a_string_to_leading_on…
     4         0 @Base\strings\substring.jl  253 _string(a::Char)
     4         0 @Base\scopedvalues.jl   215 get
     4         0 @Base\iterators.jl     1633 only
     4         0 stdin                     9 aspath
     4         0 @Base\path.jl           468 abspath
     4         0 @Float3109s\src\Printf2.jl 1124 _normalize_a_string_to_leading_ze…
     4         4 @Base\strings\string.jl  144 unsafe_wrap
     4         0 @Float3109s\src\values.jl  146 _decode_positive_half(fmt::Main.P…
     5         0 @Float3109s\src\values.jl  149 _decode_positive_half(fmt::Main.P…
     5         0 @Base\gmp.jl            513 fld
     5         0 @Base\gmp.jl            508 div
     5         0 @Base\gmp.jl            172 fdiv_q(a::BigInt, b::BigInt)
     5         0 @Float3109s\src\values.jl    ? ValueOf(fmt::Main.ProfRun.Format,…
     5         0 @Float3109s\src\Printf2.jl 1071 _normalize_a_string_to_leading_on…
     5         2 @Float3109s\src\values.jl   98 ValueOf(fmt::Main.ProfRun.Format,…
     5         0 @Base\mpfr.jl           622 /(x::BigFloat, y::BigFloat)
     5         0 @Base\mpfr.jl           154 BigFloat()
     5         5 @Base\strings\string.jl  133 _string_n
     5         0 @Float3109s\src\values.jl  140 _decode_positive_half(fmt::Main.P…
     5         0 @Float3109s\src\Printf2.jl 1078 _normalize_a_string_to_leading_on…
     5         2 @Base\strings\io.jl     143 print_to_string(::String, ::Varar…
     5         0 @CSV\src\write.jl       299 with(f::CSV.var"#90#91"{Bool, Boo…
     5         3 @Float3109s\src\hexstrings.jl   18 AllHexStringValuesOf(fmt::Main.Pr…
     5         0 @Base\iobuffer.jl       167 StringMemory
     6         0 @Base\mpfr.jl           375 BigFloat
     6         6 @Float3109s\src\codepoints.jl   26 cp_zero(fmt::Main.ProfRun.Format{…
     6         0 @Base\scopedvalues.jl   153 Scope
     6         0 @Base\scopedvalues.jl   149 Scope
     6         0 @Base\dict.jl           947 PersistentDict
     6         0 @Base\dict.jl           953 PersistentDict
     6         0 @Base\dict.jl           876 set(dict::Base.PersistentDict{Bas…
     6         0 @Base\gmp.jl             71 _
     6         6 @Base\gcutils.jl         92 finalizer
     6         6 @Base\tuple.jl           33 getindex
